"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2488244,"December 26, 2022",Iowa,"Des Moines","400 E McKinley Ave",1,0,N/A
2488523,"December 26, 2022",Texas,Lufkin,"120 Kirksey Dr",1,0,N/A
2488823,"December 25, 2022",Florida,"Palm Bay","J A Bombardier Blvd and SW Kentucky Dr",2,0,N/A
2488205,"December 25, 2022",Ohio,Columbus,"700 block of Moon Rd",1,0,N/A
2488466,"December 25, 2022",Virginia,Richmond,"100 block of Engleside Ct",1,0,N/A
2486801,"December 22, 2022",Illinois,Peoria,"3400 block of W Oakcrest Dr",1,0,N/A
2486769,"December 21, 2022",Virginia,Portsmouth,"100 block of Sykes Ave",1,0,N/A
2487323,"December 21, 2022",Florida,Loxahatchee,"120th Ave and 75th Ln N",1,0,N/A
2487532,"December 21, 2022",Virginia,Alexandria,"5500 block of Ascot Ct",1,0,N/A
2486416,"December 21, 2022",Missouri,"Saint Louis (Jennings)","8300 block of Octavia Ave",1,0,N/A
2486426,"December 21, 2022",Alabama,Birmingham,"500 block of 16th Ave NW",1,0,N/A
2485354,"December 20, 2022",Tennessee,Knoxville,"440 block of Taylor Homes Rd",1,0,N/A
2485438,"December 19, 2022",Missouri,"Saint Louis (University City)","7300 block of Delmar Blvd",1,0,N/A
2484403,"December 19, 2022",Michigan,Detroit,"19100 block of Biltmore St",1,0,N/A
2485196,"December 19, 2022",Connecticut,"New Haven","Valley St and Harper Ave",1,0,N/A
2485158,"December 19, 2022",Texas,"San Angelo","1300 block of Tres Rios Cir",1,0,N/A
2485981,"December 19, 2022",Texas,Houston,"12349 Farm to Market 1960 Rd W",1,0,N/A
2485248,"December 18, 2022",California,Corcoran,"1900 block of Fern Dr",1,0,N/A
2484502,"December 18, 2022",Arkansas,"Little Rock","33 Falcon Ct",1,0,N/A
2484614,"December 18, 2022",Kentucky,Louisville,"1200 Southwestern Pkwy",1,0,N/A
2483489,"December 17, 2022",Georgia,Atlanta,"3000 Continental Colony Pkwy SW",2,3,N/A
2483696,"December 17, 2022",California,Antioch,"5000 Lone Tree Way",1,0,N/A
2483670,"December 17, 2022","North Carolina",Henderson,"E Montgomery St and N College St",1,0,N/A
2483377,"December 17, 2022",Tennessee,Memphis,"E Raines Rd and Kirby Pkwy",2,0,N/A
2482678,"December 16, 2022",Michigan,Kalamazoo,"1000 block of Interfaith Blvd",1,0,N/A
2482939,"December 16, 2022",Illinois,Chicago,"100 block of N Oakley Blvd",1,1,N/A
2482288,"December 16, 2022",Illinois,Chicago,"2150 S Laflin St",2,2,N/A
2483150,"December 16, 2022",Florida,Lakeland,"5500 block of Starling Loop",1,0,N/A
2484208,"December 16, 2022","North Carolina",Wilson,"600 block of Minchew St",1,0,N/A
2483141,"December 16, 2022",Florida,"Sumter (county)",N/A,1,0,N/A
2481219,"December 14, 2022",Louisiana,"New Orleans","I-10 and St Bernard Ave",1,0,N/A
2482372,"December 14, 2022",Arizona,Phoenix,"23rd Ave and Rose Garden Ln",2,0,N/A
2482042,"December 14, 2022",Georgia,Macon,"3867 Log Cabin Dr",1,0,N/A
2481336,"December 14, 2022",Illinois,Chicago,"4800 block of N Ashland Ave",2,0,N/A
2481305,"December 14, 2022",Ohio,Cleveland,"1300 block of West Blvd",2,0,N/A
